timestamp,open,high,low,close,volume
2024-06-03,4.8800,5.0300,4.5500,4.5800,3700688
2024-05-31,4.7600,5.0950,4.7000,4.8300,1574866
2024-05-30,4.7600,4.9100,4.6500,4.7300,680822
2024-05-29,4.8700,4.9260,4.6200,4.7000,865024
2024-05-28,5.0400,5.3900,4.8600,4.9600,2005698
2024-05-24,4.7300,4.9850,4.6400,4.9600,751013
2024-05-23,4.9100,4.9700,4.6650,4.7000,746352
2024-05-22,4.7800,5.0600,4.7350,4.8800,1105488
2024-05-21,4.6900,4.8100,4.6000,4.8000,949488
2024-05-20,4.4500,4.7100,4.3000,4.6800,1167395
2024-05-17,4.4100,4.4450,4.2000,4.3300,1528301
2024-05-16,4.5000,4.5600,4.2900,4.3600,1031053
2024-05-15,4.9300,5.0500,4.4200,4.5000,2955662
2024-05-14,4.9600,5.1800,4.7600,4.8200,2421518
2024-05-13,4.9500,5.1700,4.7950,4.8700,1336241
2024-05-10,5.1900,5.2900,4.6700,4.7500,1892104
2024-05-09,4.8600,5.3500,4.8200,5.1000,1877687
2024-05-08,4.7200,4.9250,4.6000,4.8700,1618625
2024-05-07,4.9000,4.9900,4.7000,4.7300,2336075
2024-05-06,5.0300,5.0600,4.8000,4.8100,1537807
2024-05-03,4.7500,5.0600,4.6900,4.8800,2884418
2024-05-02,4.8200,4.8500,4.5800,4.6600,877550
2024-05-01,4.5900,4.8500,4.4700,4.7500,2904253
2024-04-30,4.7000,4.7500,4.4450,4.5500,2089351
2024-04-29,4.7600,4.9000,4.6450,4.7000,1627592
2024-04-26,4.6500,4.7900,4.5300,4.7000,1430749
2024-04-25,4.3700,4.8300,4.2600,4.5900,1899183
2024-04-24,4.8300,4.8500,4.4100,4.4500,3606173
2024-04-23,4.5500,4.6900,4.4400,4.4400,855678
2024-04-22,4.5100,4.6650,4.3800,4.5450,1157650
2024-04-19,4.3300,4.7100,4.2800,4.5600,1154414
2024-04-18,4.6000,4.7600,4.3800,4.4400,1394594
2024-04-17,5.1400,5.2100,4.5800,4.5850,1977303
2024-04-16,5.5400,5.7000,5.1100,5.1150,1345062
2024-04-15,5.9900,5.9900,5.4550,5.7400,1306981
2024-04-12,5.9800,6.0699,5.8600,5.9800,1301166
2024-04-11,6.4000,6.5600,6.0000,6.0700,808885
2024-04-10,6.0700,6.1900,5.9100,6.1700,1153247
2024-04-09,5.9200,6.2600,5.8100,6.2300,1296720
2024-04-08,6.1100,6.2150,5.7900,6.0500,1379932
2024-04-05,6.2900,6.3350,6.0300,6.1900,1016754
2024-04-04,6.5300,6.8850,6.3200,6.3800,2645997
2024-04-03,6.4700,6.7200,6.3100,6.4500,1420816
2024-04-02,6.3400,6.8200,6.3400,6.4200,1704927
2024-04-01,7.1000,7.3100,6.5600,6.6300,2028418
2024-03-28,8.0000,8.2600,7.0300,7.1700,4063121
2024-03-27,7.3700,8.4000,7.1600,7.8100,5563820
2024-03-26,6.8500,7.1450,6.5700,6.8800,1652467
2024-03-25,6.9700,7.1900,6.5600,6.6400,1698390
2024-03-22,6.2600,7.6100,6.1100,6.8000,5167433
2024-03-21,5.9300,6.1900,5.7750,6.0900,1766915
