timestamp,open,high,low,close,volume
2024-06-03,4.0000,4.0206,3.8461,4.0000,8894
2024-05-31,3.7700,4.3100,3.7601,4.0300,31280
2024-05-30,3.7500,3.8300,3.7000,3.8000,29258
2024-05-29,4.1400,4.2000,3.7000,3.8600,64151
2024-05-28,4.0900,4.5793,4.0900,4.3800,145766
2024-05-24,6.7200,7.1500,3.5200,4.5000,7458688
2024-05-23,3.1900,4.2400,2.8700,4.1000,486458
2024-05-22,3.2800,3.3299,3.0920,3.1300,14876
2024-05-21,3.1700,3.4900,3.1500,3.3000,84168
2024-05-20,3.5300,3.5300,3.0300,3.1700,39043
2024-05-17,4.6400,4.7950,2.9400,3.5800,234612
2024-05-16,4.6300,5.0000,4.6300,4.7600,8393
2024-05-15,5.1200,5.3900,4.6800,4.9900,24101
2024-05-14,4.8100,5.4400,4.8100,5.1200,80661
2024-05-13,5.1800,5.1800,4.8600,4.9400,10020
2024-05-10,4.5000,4.9499,4.4600,4.9400,30871
2024-05-09,4.4600,4.7074,4.4600,4.5000,17693
2024-05-08,4.5200,4.8500,4.5200,4.7100,30884
2024-05-07,4.9600,5.4400,4.7800,4.8000,60098
2024-05-06,4.9800,4.9800,4.6600,4.8800,15601
2024-05-03,4.8300,5.3000,4.8300,4.8800,48861
2024-05-02,5.3800,5.3800,4.8000,4.9500,24038
2024-05-01,5.1900,5.6600,5.0639,5.1400,54296
2024-04-30,6.1900,6.2572,5.1800,5.3200,70503
2024-04-29,6.3700,6.4348,6.1610,6.1800,11600
2024-04-26,6.4500,6.7000,6.2500,6.3450,29103
2024-04-25,7.0000,7.0000,6.4700,6.5000,14403
2024-04-24,7.1200,7.2900,6.8100,6.8200,19603
2024-04-23,6.2601,7.4100,6.2601,7.1700,86055
2024-04-22,6.1900,6.5400,6.0000,6.3500,71826
2024-04-19,6.2700,6.3800,6.0000,6.2500,31989
2024-04-18,5.9700,6.4500,5.8500,6.1432,94527
2024-04-17,6.2900,6.2900,5.4500,6.1000,243023
2024-04-16,6.9400,9.1599,5.8500,6.3000,5953671
2024-04-15,5.9600,6.6559,4.9000,5.1000,128586
2024-04-12,7.7500,7.7500,5.8200,6.0200,67389
2024-04-11,6.2600,7.7148,6.2200,6.6200,191225
2024-04-10,6.3100,7.5800,6.3000,6.6700,354114
2024-04-09,6.0100,9.3300,5.6506,6.1000,1366101
2024-04-08,6.9900,10.6600,5.9600,6.3200,1556916
2024-04-05,4.6600,10.4100,4.4400,7.7400,5000010
2024-04-04,4.9900,4.9900,4.1501,4.2750,31756
2024-04-03,5.2601,5.6400,4.6900,4.9900,90157
2024-04-02,5.5000,5.5709,5.2400,5.3096,13589
2024-04-01,5.8200,6.3900,5.5100,5.5200,25151
2024-03-28,6.4200,6.7900,5.7206,6.0000,25265
2024-03-27,6.1000,6.4500,5.2510,6.4399,59705
2024-03-26,7.5900,8.1400,6.0200,6.1000,53749
2024-03-25,7.0800,8.4099,7.0200,7.5400,99051
2024-03-22,6.0500,7.6723,6.0500,7.3000,62289
2024-03-21,6.9000,7.7400,6.1400,6.7194,86032
2024-03-20,0.1662,0.1745,0.1510,0.1649,1077958
2024-03-19,0.1450,0.1830,0.1401,0.1570,1354127
2024-03-18,0.1450,0.1500,0.1347,0.1442,863272
2024-03-15,0.1429,0.1442,0.1330,0.1370,483865
2024-03-14,0.1303,0.1447,0.1283,0.1360,528190
2024-03-13,0.1200,0.1389,0.1200,0.1270,573352
2024-03-12,0.1200,0.1321,0.1178,0.1237,662791
2024-03-11,0.1250,0.1380,0.1140,0.1180,1367777
2024-03-08,0.1590,0.1590,0.1400,0.1509,426278
2024-03-07,0.1444,0.1543,0.1430,0.1510,190297
2024-03-06,0.1550,0.1598,0.1425,0.1460,607039
2024-03-05,0.1613,0.1737,0.1545,0.1578,635051
2024-03-04,0.1740,0.2750,0.1511,0.1692,10281197
2024-03-01,0.1810,0.1829,0.1675,0.1681,626129
2024-02-29,0.1765,0.1850,0.1660,0.1850,494623
2024-02-28,0.1787,0.1800,0.1660,0.1660,279518
2024-02-27,0.1781,0.1890,0.1703,0.1814,389882
2024-02-26,0.1753,0.1800,0.1625,0.1746,555142
2024-02-23,0.1850,0.1892,0.1648,0.1770,625828
2024-02-22,0.1896,0.1896,0.1760,0.1829,440666
2024-02-21,0.2056,0.2149,0.1749,0.1898,1426655
2024-02-20,0.2850,0.3400,0.1950,0.2068,7657540
2024-02-16,0.2290,0.2558,0.2290,0.2350,461739
2024-02-15,0.2250,0.2330,0.2250,0.2290,89948
2024-02-14,0.2211,0.2300,0.2210,0.2254,94752
2024-02-13,0.2160,0.2250,0.2160,0.2211,248352
2024-02-12,0.2200,0.2275,0.2110,0.2160,737148
2024-02-09,0.1753,0.3700,0.1738,0.2185,14773827
2024-02-08,0.2160,0.2185,0.1113,0.1753,400910
2024-02-07,0.2150,0.2180,0.2071,0.2110,133677
2024-02-06,0.2083,0.2212,0.2004,0.2080,372634
2024-02-05,0.2010,0.2300,0.2009,0.2083,144788
2024-02-02,0.2200,0.2200,0.2010,0.2010,99858
2024-02-01,0.2100,0.2238,0.2013,0.2200,173448
2024-01-31,0.2093,0.2300,0.2011,0.2100,285366
2024-01-30,0.2423,0.2580,0.1990,0.2103,525193
2024-01-29,0.2600,0.2601,0.2420,0.2500,76228
2024-01-26,0.2411,0.2577,0.2411,0.2570,29524
2024-01-25,0.2500,0.2590,0.2411,0.2421,70781
2024-01-24,0.2486,0.2600,0.2451,0.2500,110896
2024-01-23,0.2420,0.2700,0.2420,0.2470,69603
2024-01-22,0.2500,0.2645,0.2401,0.2401,132430
2024-01-19,0.2680,0.2680,0.2510,0.2530,173046
2024-01-18,0.2500,0.2679,0.2500,0.2600,19804
2024-01-17,0.2710,0.2710,0.2500,0.2649,109585
2024-01-16,0.2700,0.2899,0.2673,0.2684,86507
2024-01-12,0.2803,0.2898,0.2700,0.2720,41390
2024-01-11,0.2896,0.2930,0.2712,0.2750,95553
2024-01-10,0.2800,0.2949,0.2702,0.2844,450467
2024-01-09,0.2715,0.2890,0.2701,0.2890,167180
2024-01-08,0.3079,0.3150,0.2700,0.2800,460817
2024-01-05,0.2598,0.2900,0.2581,0.2900,348588
2024-01-04,0.2610,0.2634,0.2501,0.2590,168430
2024-01-03,0.2579,0.2735,0.2510,0.2619,203869
2024-01-02,0.2700,0.2898,0.2511,0.2659,444686
2023-12-29,0.2720,0.2766,0.2551,0.2766,399022
2023-12-28,0.2936,0.2997,0.2551,0.2551,657815
2023-12-27,0.2870,0.2999,0.2750,0.2934,518363
2023-12-26,0.2700,0.3050,0.2430,0.2928,769023
2023-12-22,0.2906,0.3066,0.2600,0.2704,673704
2023-12-21,0.2717,0.3000,0.2717,0.3000,347187
2023-12-20,0.3420,0.3850,0.2521,0.2703,1006278
2023-12-19,0.3526,0.3842,0.3310,0.3600,637987
2023-12-18,0.3800,0.4100,0.3500,0.3526,1190678
2023-12-15,0.3140,0.3667,0.3105,0.3500,1840768
2023-12-14,0.2749,0.3239,0.2749,0.3000,235620
2023-12-13,0.3100,0.3100,0.2651,0.2741,179962
2023-12-12,0.2500,0.3447,0.2500,0.3000,1152713
2023-12-11,0.2620,0.2730,0.2300,0.2450,354779
2023-12-08,0.2818,0.2970,0.2620,0.2710,291264
2023-12-07,0.3250,0.3250,0.2900,0.2970,274988
2023-12-06,0.3541,0.3900,0.2530,0.2740,1018229
2023-12-05,0.3570,0.3950,0.3500,0.3651,245135
2023-12-04,0.3100,0.4147,0.3100,0.3460,847411
2023-12-01,0.3750,0.3899,0.3000,0.3365,1134877
2023-11-30,0.3190,0.4500,0.3190,0.3400,2160763
2023-11-29,0.2925,0.3290,0.2925,0.3107,495817
2023-11-28,0.2740,0.3228,0.2710,0.2925,416307
2023-11-27,0.2599,0.2899,0.2480,0.2740,314833
2023-11-24,0.2502,0.2650,0.2401,0.2601,194156
2023-11-22,0.2400,0.2640,0.2355,0.2500,72254
2023-11-21,0.2611,0.2611,0.2428,0.2500,87871
2023-11-20,0.2411,0.2598,0.2301,0.2580,194063
2023-11-17,0.2060,0.2500,0.2000,0.2400,867379
