timestamp,open,high,low,close,volume
2024-06-03,232.5000,239.2000,224.6900,231.3900,7333118
2024-05-31,239.2800,240.4100,219.1700,225.9200,10123077
2024-05-30,241.1000,248.8600,233.3800,234.7600,9349187
2024-05-29,239.0200,240.4900,233.1800,236.6500,6801950
2024-05-28,235.4500,247.1319,231.0500,245.0000,10843128
2024-05-24,221.0000,237.7900,220.0500,237.6500,10249246
2024-05-23,233.8100,234.3200,217.6600,218.8600,9428333
2024-05-22,225.0100,238.7700,221.2089,231.5100,8933689
2024-05-21,231.9700,233.6500,220.1200,225.7800,10704505
2024-05-20,207.9600,226.2600,203.7200,225.1900,11223310
2024-05-17,205.6600,210.6700,199.8315,207.6000,8688627
2024-05-16,215.0000,216.4499,198.6400,199.1700,12185482
2024-05-15,212.2100,221.4000,207.7000,219.9100,9339278
2024-05-14,195.9600,206.9669,194.9300,203.0500,5356047
2024-05-13,204.0000,206.6650,197.6400,199.5100,7542161
2024-05-10,214.5000,214.8700,200.5000,200.9200,7423528
2024-05-09,210.2200,213.8497,205.1100,210.4500,4649731
2024-05-08,209.5000,214.9000,206.5250,211.2000,4615442
2024-05-07,226.9400,230.8200,214.1200,214.3400,8169566
2024-05-06,225.8400,235.8000,224.9000,226.9300,9690593
2024-05-03,230.9000,232.2500,216.5500,223.2500,13739132
2024-05-02,216.4800,232.7100,210.7600,228.8500,12454215
2024-05-01,199.0000,218.5200,198.2000,210.0900,10191466
2024-04-30,214.3501,216.5700,202.5900,203.9300,9127863
2024-04-29,229.9420,230.3200,216.5400,218.1600,9576110
2024-04-26,220.7700,237.0200,218.6600,236.3200,6044874
2024-04-25,216.0450,225.9400,213.6400,223.6100,5143505
2024-04-24,236.8300,239.0000,223.8700,224.3700,6737434
2024-04-23,223.6200,238.6700,223.6100,236.4300,7338353
2024-04-22,216.7900,227.1400,215.0330,225.8600,8207010
2024-04-19,223.8300,227.7600,210.1800,211.0100,9363985
2024-04-18,215.5700,228.0500,213.2500,218.0800,9403920
2024-04-17,222.0400,224.8700,205.9000,213.7800,9440213
2024-04-16,223.0000,223.0000,205.6700,218.8300,16472144
2024-04-15,247.9400,249.7392,222.1400,223.4100,11239787
2024-04-12,259.4200,259.9700,244.3101,245.7500,9051648
2024-04-11,250.9900,264.3000,247.3103,263.0100,8655112
2024-04-10,238.2400,251.2650,234.1200,250.9900,8416023
2024-04-09,253.2250,254.5500,241.1000,242.9500,7706137
2024-04-08,252.8590,261.6300,249.6800,256.9900,9881184
2024-04-05,244.9100,253.9600,240.2000,240.9000,8194998
2024-04-04,260.1500,261.5000,249.4600,249.6100,8034164
2024-04-03,244.0400,255.9980,243.0000,251.5800,6567091
2024-04-02,238.1000,248.1250,235.9900,245.8400,8739238
2024-04-01,261.8700,268.8100,249.2238,252.1100,9580480
2024-03-28,260.2100,270.7900,257.9100,265.1200,11201564
2024-03-27,276.2200,276.6050,253.9500,256.7000,11092626
2024-03-26,280.1200,280.8300,266.6901,266.8100,10316202
2024-03-25,261.0000,283.4800,260.2500,279.7100,13941661
2024-03-22,254.2400,260.7246,249.5500,255.5100,9828192
2024-03-21,260.2400,276.3800,256.2678,262.0000,16199858
2024-03-20,231.3800,256.9600,228.8000,256.8800,13834342
2024-03-19,223.2400,233.2900,216.1600,230.1200,12928500
2024-03-18,238.6100,244.0500,230.2100,239.6200,9734544
2024-03-15,225.0600,244.6500,222.8300,242.3600,17256270
2024-03-14,245.0000,248.2700,227.2400,233.6700,18382476
2024-03-13,253.3600,269.3899,250.5300,251.7300,17116910
2024-03-12,257.8350,260.7900,242.0900,256.1400,14137551
2024-03-11,270.0800,271.6500,253.9600,254.1700,20077217
2024-03-08,246.0000,270.5476,244.9000,256.6200,21883953
2024-03-07,240.0000,242.8700,235.5000,242.6200,10609304
2024-03-06,229.2000,239.9000,223.0300,238.5500,17936728
2024-03-05,230.0000,239.9800,215.4000,216.7700,23863310
2024-03-04,217.3901,236.4600,212.2469,229.1500,23294868
2024-03-01,202.7000,206.3900,196.0101,205.7700,9297387
2024-02-29,206.4600,211.3100,193.8800,203.5600,16237764
2024-02-28,209.4100,212.2200,197.6600,200.8000,25397116
2024-02-27,205.1800,209.9400,192.0900,199.2200,22679097
2024-02-26,168.6600,196.9500,168.4000,193.9400,22593709
